movie_id,movie_title,year,runtime,genres,primary_genre,ave_rating,num_votes,director_id,director_name,writers_id,writers_name
tt1163741,Arsène Lupin contra Sherlock Holmes,1910,92,"Drama,Mystery",Drama,4.9,15,nm0488932,Viggo Larsen,"['nm0236279', 'nm0495728']","['Arthur Conan Doyle', 'Maurice Leblanc']"
tt1337250,The Abyss,1910,37,Drama,Drama,6,63,nm0300487,Urban Gad,['nm0300487'],['Urban Gad']
tt0967520,A Fatal Lie,1912,45,Drama,Drama,5.1,14,nm0088881,August Blom,['nm0470179'],['Bertel Krause']
tt1829708,Les misérables,1912,163,Drama,Drama,6.4,41,nm0135052,Albert Capellani,"['nm0135053', 'nm0401076']","['Paul Capellani', 'Victor Hugo']"
tt2399036,Unjustly Accused,1913,55,Romance,Romance,6.4,41,nm0390479,Holger-Madsen,['nm5211959'],['P. Nielsen']
tt2186344,Streets of New York,1913,42,Drama,Drma,5.3,13,nm0883920,Travers Vale,['nm0099105'],['Dion Boucicault']
tt2364210,Alone with the Devil,1914,56,Drama,Drma,6,40,nm0203200,Hjalmar Davidsen,"['nm0304202', 'nm0803842']","['Carl Gandrup', 'Laurids Skands']"
tt2410780,Dødsklokken,1914,50,Drama,Drma,6,12,nm2525380,Alf Nielsen,['nm2525380'],['Alf Nielsen']
tt1155658,Gorô Masamune kôshiden,1915,48,Drama,Drma,5,9,nm1846347,Jirô Yoshino,['nm1987900'],['Amigasa Katsurada']
tt0870016,Szpieg,1915,25,Drama,Drma,5.2,9,nm0381076,Aleksander Hertz,['nm1691235'],['Witalis Korsak-Gologowski']
tt0795927, Deti veka ,1915,61,Drama,Drama,6.1,185,nm0061955,Yevgeny Bauer,['nm6911795'],['M. Mikhailov']
tt2122389,The Vampires: The Thunder Master,1916,55,"Action,Crime,Mystery",Action,7.1,283,nm0275421,Louis Feuillade,['nm0275421'],['Louis Feuillade']
tt2233956,Sønnen,1916,47,Drama,Drama,5.6,12,nm0088881,August Blom,['nm0461743'],['Poul Knudsen']
tt2122391,The Vampires: The Terrible Wedding,1916,60,"Action,Crime,Mystery",Action,7.1,270,nm0275421,Louis Feuillade,['nm0275421'],['Louis Feuillade']
